2023-11-14 14:26:47,818 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-11-14 14:26:50,500 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-14 14:26:50,501 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-14 14:26:50,780 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 268 ms. Found 1 JPA repository interfaces.
2023-11-14 14:26:50,787 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-14 14:26:50,787 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-14 14:26:50,810 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 1 JPA repository interfaces.
2023-11-14 14:26:50,811 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-14 14:26:50,811 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-14 14:26:51,254 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 442 ms. Found 54 JPA repository interfaces.
2023-11-14 14:26:51,257 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-14 14:26:51,257 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-14 14:26:51,292 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 34 ms. Found 1 JPA repository interfaces.
2023-11-14 14:26:52,272 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2023-11-14 14:26:52,296 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2023-11-14 14:26:53,578 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2023-11-14 14:26:53,591 [main] INFO  o.a.coyote.http11.Http11NioProtocol - The ["http-nio-0.0.0.0-9090"] connector has been configured to support HTTP upgrade to [h2c]
2023-11-14 14:26:53,591 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2023-11-14 14:26:53,592 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-11-14 14:26:53,592 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-11-14 14:26:53,694 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-14 14:26:53,694 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5767 ms
2023-11-14 14:26:54,281 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-11-14 14:26:54,374 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-11-14 14:26:54,708 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-11-14 14:26:54,918 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-11-14 14:26:55,042 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-11-14 14:26:55,072 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.thingsboard.server.dao.ThingsboardPostgreSQLDialect
2023-11-14 14:26:57,326 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-11-14 14:26:57,363 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-11-14 14:27:01,807 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2023-11-14 14:27:04,248 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-14 14:27:04,821 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2023-11-14 14:27:05,723 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@73983f07, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@35fddea2, org.springframework.security.web.context.SecurityContextPersistenceFilter@67629872, org.springframework.security.web.header.HeaderWriterFilter@18d963be, org.springframework.security.web.csrf.CsrfFilter@6e98fd10, org.springframework.security.web.authentication.logout.LogoutFilter@6edd80fe, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@35ef158f, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@14cd8dfa, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@59d8a968, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@14997cb9, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4f876114, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b6098fd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ce5013a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52d625bd, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@174da9a0, org.springframework.security.web.session.SessionManagementFilter@17f5b53a, org.springframework.security.web.access.ExceptionTranslationFilter@2823bd30, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4d7f3adf]
2023-11-14 14:27:06,338 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2023-11-14 14:27:06,338 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2023-11-14 14:27:06,339 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
